name,platform,year_of_release,genre,publisher,na_sales,eu_sales,jp_sales,other_sales,critic_score,critic_count,user_score,user_count,developer,rating,Manufacturer,CountDeveloper,CountPublisher
Marvel: Ultimate Alliance 2,PS2,2009,Role-Playing,Activision,230000,20000,0,160000,6.48,NA,4.6,15,n-Space,T,Sony,4,39
Gauntlet: Seven Sorrows,PS2,2005,Role-Playing,Midway Games,200000,150000,0,50000,5.9,38,5.7,20,Midway,T,Sony,2,7
Marvel: Ultimate Alliance,Weii,2006,Role-Playing,Activision,360000,0,0,30000,7.3,31,7.3,29,Vicarious Visions,T,Nintendo,5,39
Naruto: Path of the Ninja,DS,2007,Role-Playing,D3Publisher,370000,0,0,30000,5.7,18,7.2,9,TOSE,E10+,Nintendo,13,12
Mass Effect 2,PC,2010,Role-Playing,Electronic Arts,10000,320000,0,60000,9.4,55,8.8,3559,BioWare,M,PC,21,34
Alpha Protocol,X360,2010,Role-Playing,Sega,230000,120000,0,40000,6.3,68,7.2,201,Obsidian Entertainment,M,Microsoft,15,35
Marvel: Ultimate Alliance,PS3,2006,Role-Playing,Activision,330000,20000,0,30000,7.8,35,7.6,49,Raven Software,T,Sony,10,39
Deus Ex: Mankind Divided,PS4,2016,Role-Playing,Square Enix,110000,210000,0,60000,8.4,59,7.6,511,Eidos Montreal,M,Sony,2,89
Marvel: Ultimate Alliance,PSP,2006,Role-Playing,Activision,330000,0,0,30000,8.1,19,7.5,14,Vicarious Visions,T,Nintendo,5,39
Arc the Lad: Twilight of the Spirits,PS2,2003,Role-Playing,Sony Computer Entertainment,180000,140000,0,50000,7.2,39,8.2,33,Cattle Call,T,Sony,3,23
Untold Legends: The Warriors Code,PSP,2006,Role-Playing,Ubisoft,140000,120000,0,80000,6.5,46,8.3,28,Sony Online Entertainment,T,Nintendo,3,50
Disgaea: Hour of Darkness,PS2,2003,Role-Playing,Tecmo Koei,160000,130000,0,40000,8.4,42,8.9,74,Nippon Ichi Software,T,Sony,18,23
Marvel: Ultimate Alliance 2,Weii,2009,Role-Playing,Activision,250000,50000,0,30000,5,8,5.2,16,n-Space,T,Nintendo,4,39
World of Warcraft: Legion,PC,2016,Role-Playing,Activision,130000,160000,0,30000,8.8,62,7.5,535,Blizzard Entertainment,T,PC,10,39
Fable III,PC,2011,Role-Playing,Microsoft Game Studios,100000,170000,0,50000,7.5,39,5.4,555,Lionhead Studios,M,PC,5,16
Monster Lab,Weii,2008,Role-Playing,Eidos Interactive,270000,20000,0,20000,7.3,11,8.4,14,Backbone Entertainment,E10+,Nintendo,3,13
Orphen: Scion of Sorcery,PS2,2000,Role-Playing,Activision,150000,120000,0,40000,5.4,15,5.8,8,Shade,T,Sony,1,39
Kingdoms of Amalur: Reckoning,PC,2012,Role-Playing,Electronic Arts,140000,130000,0,30000,8.1,25,6.6,1097,Big Huge Games,M,PC,3,34
Grandia II,PS2,2002,Role-Playing,Ubisoft,140000,110000,0,40000,7.1,19,8.6,31,Game Arts,T,Sony,3,50
X-Men Legends II: Rise of Apocalypse,PSP,2005,Role-Playing,Activision,250000,10000,0,20000,8.4,30,8.2,43,Vicarious Visions,T,Nintendo,5,39
Puzzle Quest: Challenge of the Warlords,Weii,2007,Puzzle,D3Publisher,260000,0,0,20000,7.1,17,6.2,5,Vicious Cycle,E10+,Nintendo,1,12
Fable: The Journey,X360,2012,Role-Playing,Microsoft Game Studios,180000,80000,0,20000,6.1,70,4.8,80,Lionhead Studios,T,Microsoft,5,16
Wild ARMs 5,PS2,2006,Role-Playing,505 Games,140000,110000,0,40000,7.1,26,7.5,22,Media Vision,T,Sony,8,20
Fullmetal Alchemist 2: Curse of the Crimson Elixir,PS2,2004,Role-Playing,Square Enix,130000,100000,0,30000,6.7,21,8.4,20,Racjin,T,Sony,5,89
Legaia 2: Duel Saga,PS2,2001,Role-Playing,Eidos Interactive,130000,100000,0,30000,6.7,21,8.4,43,Prokion,T,Sony,1,13
The Elder Scrolls IV: Oblivion,PC,2006,Role-Playing,Take-Two Interactive,10000,200000,0,40000,9.4,54,8.1,2454,Bethesda Softworks,M,PC,5,4
Game of Thrones,X360,2012,Role-Playing,Focus Home Interactive,150000,80000,0,20000,5.2,35,5.2,126,"Cyanide, Cyanide Studios",M,Microsoft,3,14
Final Fantasy XI: Chains of Promathia,PS2,2004,Role-Playing,Square Enix,120000,90000,0,30000,7.7,13,8,10,Square Enix,T,Sony,31,89
Sword Art Online: Lost Song,PS4,2015,Role-Playing,Namco Bandai Games,100000,110000,0,40000,6.3,32,6.3,60,"Bandai Namco Games, Artdink",T,Sony,2,61
Digimon World: Data Squad,PS2,2006,Role-Playing,Namco Bandai Games,120000,90000,0,30000,4.3,12,8,20,Bec,E10+,Sony,3,61
Percy Jackson and the Olympians: The Lightning Thief,DS,2010,Role-Playing,Activision,220000,10000,0,20000,5.6,6,6.9,12,Griptonite Games,E10+,Nintendo,2,39
Shadow Hearts: Covenant,PS2,2004,Role-Playing,Midway Games,120000,90000,0,30000,8.5,49,9.1,54,Nautilus,T,Sony,1,7
Game of Thrones,PS3,2012,Role-Playing,Focus Home Interactive,100000,100000,0,30000,5.3,14,5.5,81,"Cyanide, Cyanide Studios",M,Sony,3,14
Angry Birds,PC,2011,Puzzle,Focus Home Interactive,0,180000,0,50000,6.48,NA,7.3,19,"Rovio Mobile, Rovio Entertainment",E,PC,2,14
Justice League Heroes,PSP,2006,Role-Playing,Eidos Interactive,200000,10000,0,20000,7.2,13,7.8,5,Snowblind Studios,T,Nintendo,1,13
Risen 2: Dark Waters,PC,2012,Role-Playing,Deep Silver,0,190000,0,30000,6.9,51,5.6,751,Piranha Bytes,M,PC,8,19
Luminous Arc 2,DS,2008,Role-Playing,Rising Star Games,200000,0,0,20000,7.3,19,7.7,14,"Image Epoch, Imageepoch",T,Nintendo,9,34
Magna Carta: Tears of Blood,PS2,2004,Role-Playing,505 Games,110000,80000,0,30000,6.6,34,7,22,SoftMax,T,Sony,1,20
Lords of the Fallen,XOne,2014,Role-Playing,Square Enix,100000,100000,0,20000,7.1,13,6.7,166,"City Interactive, Deck 13",M,Microsoft,3,89
Growlanser: Heritage of War,PS2,2006,Role-Playing,Rising Star Games,110000,80000,0,30000,6,7,7.9,9,Career Soft,T,Sony,2,34
The Bard's Tale,PS2,2004,Role-Playing,Ubisoft,100000,80000,0,30000,7.6,44,8.6,14,InXile Entertainment,T,Sony,5,50
Summoner 2,PS2,2002,Role-Playing,THQ,100000,80000,0,30000,7.6,20,8.3,22,Volition Inc.,T,Sony,2,21
Heroes of Ruin,3DS,2012,Role-Playing,Ninti,130000,70000,0,20000,6.9,53,7.4,50,n-Space,T,Nintendo,4,81
Enchanted Arms,PS3,2007,Role-Playing,Ubisoft,170000,10000,0,20000,6.4,23,5.9,40,From Software,T,Sony,14,50
Dragon Ball Z: Harukanaru Densetsu,DS,2007,Role-Playing,Namco Bandai Games,190000,0,0,20000,5.7,16,6.2,10,Bec,E,Nintendo,3,61
Two Worlds II,PC,2011,Role-Playing,Unknown,90000,90000,0,20000,7.6,31,6.5,315,Reality Pump,M,PC,3,12
Marvel: Ultimate Alliance 2,DS,2009,Role-Playing,Activision,160000,30000,0,20000,6.5,7,6.7,9,n-Space,E10+,Nintendo,4,39
Bound By Flame,PS4,2014,Role-Playing,Focus Home Interactive,80000,90000,0,30000,5.3,40,5.9,230,Spiders,M,Sony,3,14
Breath of Fire: Dragon Quarter,PS2,2002,Role-Playing,Capcom,90000,70000,0,20000,7.8,28,6.9,35,Capcom,T,Sony,15,16
Enchanted Arms,X360,2006,Role-Playing,Ubisoft,160000,20000,0,20000,6.9,54,6.9,60,From Software,T,Microsoft,14,50
