name,platform,year_of_release,genre,publisher,na_sales,eu_sales,jp_sales,other_sales,critic_score,critic_count,user_score,user_count,developer,rating,Manufacturer,CountDeveloper,CountPublisher
Dungeon Defenders,PC,2011,Role-Playing,Unknown,20000,0,0,0,8.1,26,7.3,399,Trendy Entertainment,E10+,PC,1,12
Sacred 3,PC,2014,Role-Playing,Deep Silver,0,20000,0,0,5.7,47,1.4,544,Deep Silver,M,PC,4,19
Fallout Trilogy,PC,2004,Role-Playing,Ubisoft,0,20000,0,0,6.48,NA,8.9,31,Various,M,PC,1,50
Hellgate: London,PC,2007,Role-Playing,Electronic Arts,0,20000,0,0,7,40,6.3,374,Flagship Studios,M,PC,1,34
Nervous Brickdown,DS,2007,Puzzle,Eidos Interactive,0,10000,0,0,7,21,7.5,11,Arkedo Studio,E,Nintendo,1,13
Puzzle Quest: Challenge of the Warlords,PSP,2007,Puzzle,D3Publisher,10000,0,0,0,8.4,32,8,19,"Vicious Cycle, Infinite Interactive",E10+,Nintendo,1,12
Aedis Eclipse: Generation of Chaos,PSP,2006,Role-Playing,Idea Factory,20000,0,0,0,6.2,20,6.5,11,"Neverland, Idea Factory",E10+,Nintendo,3,7
Divinity: Original Sin,PC,2014,Role-Playing,Focus Home Interactive,0,20000,0,0,8.7,59,8.7,2089,Larian Studios,M,PC,2,14
The Last Remnant,PC,2009,Role-Playing,Square Enix,0,10000,0,0,6.6,23,8.3,240,Square Enix,M,PC,31,89
Neverwinter Nights 2: Mask of the Betrayer,PC,2007,Role-Playing,Atari,0,10000,0,0,8.2,25,8.8,182,Obsidian Entertainment,T,PC,15,35
The Technomancer,PC,2016,Role-Playing,Focus Home Interactive,0,10000,0,0,5.6,34,6.8,149,"Spidersoft, Spiders",M,PC,1,14
Marvel: Ultimate Alliance,PC,2006,Role-Playing,Activision,10000,0,0,0,8.2,22,8,52,Raven Software,T,PC,10,39
Deus Ex,PC,2000,Role-Playing,Eidos Interactive,0,10000,0,0,9,28,9.3,1069,Ion Storm,M,PC,1,13
Dungeon Explorer: Warriors of Ancient Arts,PSP,2007,Role-Playing,Rising Star Games,10000,0,0,0,5.6,13,5.5,4,Hudson Soft,T,Nintendo,1,34
Super Monkey Ball Jr.,GBA,2002,Puzzle,Atari,510000,190000,0,10000,8.2,20,8.6,11,Realism Ltd,E,Nintendo,1,35
X-Men Legends,GC,2004,Role-Playing,Activision,410000,110000,0,10000,8.1,36,8.5,11,Raven Software,T,Nintendo,10,39
Custom Robo,GC,2004,Role-Playing,Ninti,290000,70000,0,10000,6.5,31,8.1,27,Noise Inc.,T,Nintendo,1,81
The Lord of the Rings: The Third Age,GC,2004,Role-Playing,Electronic Arts,220000,60000,0,10000,7.4,25,7.8,19,EA Games,T,Nintendo,2,34
Pirates of the Caribbean,XB,2003,Role-Playing,Ubisoft,220000,60000,0,10000,6.5,30,7.4,27,Akella,T,Microsoft,1,50
Baten Kaitos: Eternal Wings and the Lost Ocean,GC,2003,Role-Playing,Ninti,210000,50000,0,10000,8,48,9,59,Monolith Soft,T,Nintendo,7,81
Baldur's Gate: Dark Alliance II,XB,2004,Role-Playing,Acclaim Entertainment,190000,60000,0,10000,7.7,44,7.9,16,Black Isle Studios,T,Microsoft,1,4
X-Men Legends II: Rise of Apocalypse,GC,2005,Role-Playing,Activision,190000,50000,0,10000,8.2,34,6.2,26,Raven Software,T,Nintendo,10,39
Harvest Moon: Another Wonderful Life,GC,2004,Role-Playing,Marvelous Interactive,190000,50000,0,10000,7,12,9.2,60,Marvelous,E,Nintendo,2,7
Skies of Arcadia Legends,GC,2002,Role-Playing,Atari,170000,40000,0,10000,8.4,31,9.2,95,Overworks,T,Nintendo,2,35
Tetris Worlds,GC,2002,Puzzle,THQ,170000,40000,0,10000,4.7,10,5.6,8,Radical Entertainment,E,Nintendo,2,21
Spectrobes: Origins,Weii,2009,Role-Playing,Disney Interactive Studios,160000,20000,0,10000,7.1,22,8.4,16,Genki,E10+,Nintendo,2,4
Final Fantasy XI,X360,2006,Role-Playing,Square Enix,170000,10000,0,10000,6.6,25,6.5,33,Square Enix,T,Microsoft,31,89
Sudeki,XB,2004,Role-Playing,Microsoft Game Studios,140000,40000,0,10000,7.2,75,8.4,49,Climax Group,M,Microsoft,2,16
South Park: The Stick of Truth,PC,2014,Role-Playing,Ubisoft,70000,100000,0,10000,8.5,48,8.6,1739,Obsidian Entertainment,M,PC,15,50
Risen,X360,2009,Role-Playing,Deep Silver,70000,110000,0,10000,6,37,6.4,77,Piranha Bytes,M,Microsoft,8,19
Gauntlet: Seven Sorrows,XB,2005,Role-Playing,Midway Games,140000,40000,0,10000,6.1,36,7.8,4,Midway,T,Microsoft,2,7
Dark Souls II,PC,2014,Role-Playing,Namco Bandai Games,80000,80000,0,10000,9.1,36,7.1,2318,From Software,T,PC,14,61
Deus Ex: Mankind Divided,XOne,2016,Role-Playing,Square Enix,90000,60000,0,10000,8.3,18,7.2,175,Eidos Montreal,M,Microsoft,2,89
Marble Saga: Kororinpa,Weii,2009,Puzzle,Konami Digital Entertainment,90000,50000,0,10000,7.4,16,7.3,6,Hudson Entertainment,E,Nintendo,1,17
Bomberman,PSP,2006,Puzzle,Konami Digital Entertainment,140000,0,0,10000,7.3,30,7,7,Hudson,E,Nintendo,6,17
Puzzle Quest: Galactrix,DS,2009,Puzzle,D3Publisher,140000,0,0,10000,7.5,33,6.7,6,Infinite Interactive,E10+,Nintendo,7,12
Kingdom of Paradise,PSP,2005,Role-Playing,Sony Computer Entertainment,140000,0,0,10000,7.2,38,7.5,19,Climax Entertainment,T,Nintendo,1,23
Brain Boost: Beta Wave,DS,2005,Puzzle,505 Games,140000,0,0,10000,3.9,12,2.5,4,Interchannel,E,Nintendo,2,20
The Wizard of Oz: Beyond The Yellow Brick Road,DS,2008,Role-Playing,D3Publisher,130000,0,0,10000,6.8,18,6,4,Media Vision,E,Nintendo,8,12
Risen 2: Dark Waters,X360,2012,Role-Playing,Deep Silver,50000,80000,0,10000,6,18,6,58,Piranha Bytes,M,Microsoft,8,19
Divinity II: The Dragon Knight Saga,X360,2010,Role-Playing,Focus Home Interactive,110000,20000,0,10000,7.2,13,7.8,50,Larian Studios,M,Microsoft,2,14
Puzzle Kingdoms,DS,2009,Puzzle,Zoo Digital Publishing,120000,0,0,10000,6.4,12,6.3,4,Infinite Interactive,E10+,Nintendo,7,13
Are You Smarter than a 5th Grader? Game Time,X360,2009,Puzzle,THQ,120000,0,0,10000,6.48,NA,1.3,9,ImaginEngine,E,Microsoft,2,21
Lunar: Dragon Song,DS,2005,Role-Playing,Rising Star Games,110000,0,0,10000,5.9,30,6.2,17,"Game Arts, Japan Art Media (JAM)",E10+,Nintendo,1,34
Phantasy Star Universe,X360,2006,Role-Playing,Sega,90000,10000,0,10000,6.4,34,7.4,42,Sonic Team,T,Microsoft,9,35
Darkspore,PC,2011,Role-Playing,Electronic Arts,70000,30000,0,10000,6.5,52,6,133,Maxis,T,PC,1,34
Puzzle Quest 2,DS,2010,Puzzle,D3Publisher,100000,0,0,10000,7.4,27,5.8,11,Infinite Interactive,E10+,Nintendo,7,12
Shining Force NEO,PS2,2005,Role-Playing,Sega,60000,40000,0,10000,6.9,12,8.1,20,Neverland,T,Sony,10,35
Growlanser Generations,PS2,2003,Role-Playing,Atlus,60000,40000,0,10000,8.1,19,7.7,19,Career Soft,T,Sony,2,17
Cake Mania,DS,2007,Puzzle,Majesco Entertainment,90000,10000,0,10000,5.5,23,6.1,7,Digital Embryo,E,Nintendo,1,8
Bust-A-Move DS,DS,2005,Puzzle,505 Games,80000,20000,0,10000,7.5,14,7,6,Happy Happening,E,Nintendo,1,20
Scribblenauts Unmasked: A DC Comics Adventure,WeiiU,2013,Puzzle,Warner Bros. Interactive Entertainment,90000,0,0,10000,7.1,17,6.3,39,5TH Cell,E10+,Nintendo,5,7
Scribblenauts Unmasked: A DC Comics Adventure,3DS,2013,Puzzle,Warner Bros. Interactive Entertainment,90000,0,0,10000,6.8,7,6.2,20,5TH Cell,E10+,Nintendo,5,7
Jade Cocoon 2,PS2,2001,Role-Playing,Ubisoft,50000,40000,0,10000,7.6,16,7.8,22,Genki,T,Sony,2,50
Sudoku Mania,DS,2006,Puzzle,Zoo Digital Publishing,90000,0,0,10000,2.5,4,3.5,4,FrontLine Studios,E,Nintendo,2,13
Harvest Moon: Frantic Farming,DS,2009,Puzzle,Rising Star Games,80000,0,0,10000,7.2,7,6.8,6,Natsume,E,Nintendo,1,34
Digimon World DS,DS,2006,Role-Playing,Namco Bandai Games,90000,0,0,10000,7.1,8,7.6,27,Bec,E10+,Nintendo,3,61
Brain Age: Concentration Training,3DS,2012,Puzzle,Ninti,90000,0,0,10000,7.1,11,7.9,17,Ninti,E,Nintendo,7,81
The Legend of Heroes: A Tear of Vermillion,PSP,2005,Role-Playing,Namco Bandai Games,80000,0,0,10000,6.8,24,7.7,26,Microvision,T,Nintendo,3,61
Shining Tears,PS2,2004,Role-Playing,Sega,50000,40000,0,10000,6.1,14,6.5,11,Nex Entertainment,T,Sony,2,35
InuYasha: Secret of the Divine Jewel,DS,2007,Role-Playing,Namco Bandai Games,90000,0,0,10000,4.6,13,7.6,17,Art,E10+,Nintendo,1,61
Wild ARMs: Alter Code F,PS2,2003,Role-Playing,Sony Computer Entertainment,50000,40000,0,10000,7.3,25,8.3,26,Media Vision,T,Sony,8,23
Justice League Heroes,DS,2006,Role-Playing,Eidos Interactive,80000,0,0,10000,4.3,9,5.7,7,Sensory Sweep,E10+,Nintendo,1,13
Spectral Force 3,X360,2006,Role-Playing,Idea Factory,80000,0,0,10000,5.9,16,7.5,19,Xpec,T,Microsoft,1,7
Henry Hatsworth in the Puzzling Adventure,DS,2009,Puzzle,Electronic Arts,80000,0,0,10000,8.2,46,8,38,EA Tiburon,E,Nintendo,1,34
Wizardry: Tale of the Forsaken Land,PS2,2001,Role-Playing,Ubisoft,40000,30000,0,10000,7,14,7.5,6,Racjin,T,Sony,5,50
Ephemeral Fantasia,PS2,2000,Role-Playing,Konami Digital Entertainment,40000,30000,0,10000,4.8,16,6.3,39,KCEJ,T,Sony,3,17
Exit,PSP,2005,Puzzle,Ubisoft,70000,0,0,10000,7.7,36,7.7,13,Taito Corporation,E,Nintendo,13,50
Smart Bomb,PSP,2005,Puzzle,Eidos Interactive,70000,0,0,10000,4.5,19,5.4,5,Core Design Ltd.,E10+,Nintendo,1,13
Risen 3: Titan Lords,PS3,2014,Role-Playing,Deep Silver,20000,50000,0,10000,3.6,8,3.7,77,Piranha Bytes,M,Sony,8,19
The Legend of Alon D'ar,PS2,2001,Role-Playing,Ubisoft,40000,30000,0,10000,4.3,14,6.7,10,Stormfront Studios,T,Sony,1,50
Super Robot Taisen OG Saga: Endless Frontier,DS,2008,Role-Playing,Namco Bandai Games,70000,0,0,10000,7.3,22,9,22,Monolith Soft,T,Nintendo,7,61
Line Rider 2: Unbound,DS,2008,Puzzle,Deep Silver,70000,0,0,10000,5.9,23,5.6,5,InXile Entertainment,E,Nintendo,5,19
Crush,PSP,2007,Puzzle,Sega,70000,0,0,10000,8.3,41,9,21,Zoe Mode,E10+,Nintendo,1,35
Game of Thrones,PC,2012,Role-Playing,Focus Home Interactive,0,70000,0,10000,5.8,23,6.5,345,"Cyanide, Cyanide Studios",M,PC,3,14
Alien Syndrome,PSP,2007,Role-Playing,Sega,70000,0,0,10000,5.1,20,6,9,Totally Games,T,Nintendo,2,35
Soul Bubbles,DS,2008,Puzzle,Eidos Interactive,50000,20000,0,10000,7.8,33,8,22,Mekensleep,E,Nintendo,1,13
Whac-A-Mole,DS,2005,Puzzle,Zoo Digital Publishing,70000,0,0,10000,6.48,NA,5.4,7,DC Studios,E,Nintendo,2,13
Baroque,Weii,2008,Role-Playing,Rising Star Games,70000,0,0,10000,5,22,8.1,24,Sting,T,Nintendo,7,34
Lost Dimension,PS3,2014,Role-Playing,Nippon Ichi Software,50000,10000,0,10000,7.1,18,7.3,27,FuRyu,T,Sony,2,46
Overlord: Minions,DS,2009,Puzzle,Codemasters,70000,0,0,10000,5.8,22,5.5,4,Climax Group,E10+,Nintendo,2,1
Colosseum: Road to Freedom,PS2,2005,Role-Playing,Tecmo Koei,30000,30000,0,10000,5.6,35,8.3,17,Goshow,M,Sony,1,23
Fable: The Lost Chapters,PC,2005,Role-Playing,Microsoft Game Studios,10000,50000,0,10000,8.3,54,8.7,489,Lionhead Studios,M,PC,5,16
Arc the Lad: End of Darkness,PS2,2004,Role-Playing,Sony Computer Entertainment,30000,20000,0,10000,5.9,24,4.2,10,Cattle Call,T,Sony,3,23
Atelier Iris 2: The Azoth Of Destiny,PS2,2005,Role-Playing,Tecmo Koei,30000,20000,0,10000,6.8,34,7.8,14,Gust,E10+,Sony,12,23
The Technomancer,PS4,2016,Role-Playing,Focus Home Interactive,20000,40000,0,10000,6,38,6.7,116,Spiders,M,Sony,3,14
The Witcher,PC,2007,Role-Playing,Atari,0,50000,0,10000,8.1,50,8.8,1116,CD Projekt Red Studio,M,PC,5,35
Mana Khemia: Alchemists of Al-Revis,PS2,2007,Role-Playing,Nippon Ichi Software,30000,20000,0,10000,6.9,20,7.5,41,Gust,E10+,Sony,12,46
Titan Quest,PC,2006,Role-Playing,THQ,10000,40000,0,10000,7.7,51,8.1,387,Iron Lore Entertainment,T,PC,1,21
Bombastic,PS2,2002,Puzzle,Capcom,30000,20000,0,10000,7.2,24,7.2,6,Shift,E,Sony,3,16
Neverland Card Battles,PSP,2008,Role-Playing,Idea Factory,40000,0,0,10000,5.7,14,7.8,12,Idea Factory,T,Nintendo,1,7
Wasteland 2,XOne,2015,Role-Playing,Deep Silver,40000,10000,0,10000,7.7,13,7.1,56,InXile Entertainment,M,Microsoft,5,19
Ms Saga: A New Dawn,PS2,2005,Role-Playing,Namco Bandai Games,20000,20000,0,10000,6.5,27,8.6,15,Bandai,E10+,Sony,5,61
Stranger of Sword City,PSV,2015,Role-Playing,Nippon Ichi Software,20000,0,0,10000,7.1,24,8,30,Experience Inc.,T,Sony,3,46
Alpha Protocol,PC,2010,Role-Playing,Sega,0,30000,0,10000,7.2,25,7.5,511,Obsidian Entertainment,M,PC,15,35
Breath of Fire III,PSP,2005,Role-Playing,Capcom,0,20000,0,10000,6.48,NA,9.7,6,Capcom,T,Nintendo,15,16
The Elder Scrolls V: Skyrim,X360,2011,Role-Playing,Bethesda Softworks,5050000,2790000,100000,850000,9.6,89,8.4,3589,Bethesda Game Studios,M,Microsoft,9,16
Final Fantasy X,PS2,2001,Role-Playing,Sony Computer Entertainment,2910000,2070000,2730000,330000,9.2,53,8.7,1056,SquareSoft,T,Sony,5,23
Fallout 4,PS4,2015,Role-Playing,Bethesda Softworks,2530000,3270000,240000,1130000,8.7,58,6.5,4228,Bethesda Game Studios,M,Sony,9,16
The Elder Scrolls V: Skyrim,PS3,2011,Role-Playing,Bethesda Softworks,2550000,2600000,250000,1000000,9.2,16,6.4,2527,Bethesda Game Studios,M,Sony,9,16
Kingdom Hearts,PS2,2002,Role-Playing,Sony Computer Entertainment,3640000,1200000,1490000,70000,8.5,46,8.8,597,SquareSoft,E,Sony,5,23
Monster Hunter Freedom Unite,PSP,2008,Role-Playing,Capcom,470000,550000,4130000,340000,8.1,48,8.7,124,Capcom,T,Nintendo,15,16
Final Fantasy X-2,PS2,2003,Role-Playing,Electronic Arts,1920000,1080000,2110000,170000,8.5,45,6.6,400,SquareSoft,T,Sony,5,34
Fable III,X360,2010,Role-Playing,Microsoft Game Studios,3590000,1080000,50000,380000,8,88,6.5,604,Lionhead Studios,M,Microsoft,5,16
Fallout 3,X360,2008,Role-Playing,Bethesda Softworks,3400000,990000,90000,450000,9.3,84,8.5,1655,Bethesda Game Studios,M,Microsoft,9,16
The Elder Scrolls IV: Oblivion,X360,2006,Role-Playing,Take-Two Interactive,2820000,1030000,130000,400000,9.4,90,8.7,1109,Bethesda Softworks,M,Microsoft,5,4
Fable II,X360,2008,Role-Playing,Microsoft Game Studios,2510000,1240000,110000,410000,8.9,95,6.5,2423,Lionhead Studios,M,Microsoft,5,16
Fallout 4,XOne,2015,Role-Playing,Bethesda Softworks,2510000,1320000,10000,380000,8.8,39,6.2,1749,Bethesda Game Studios,M,Microsoft,9,16
Fallout: New Vegas,X360,2010,Role-Playing,Bethesda Softworks,2660000,1030000,40000,330000,8.4,81,8.1,769,Obsidian Entertainment,M,Microsoft,15,16
The Witcher 3: Wild Hunt,PS4,2015,Role-Playing,Namco Bandai Games,1020000,2130000,230000,590000,9.2,79,9.2,10179,CD Projekt Red Studio,M,Sony,5,61
Fallout 3,PS3,2008,Role-Playing,Bethesda Softworks,2150000,1130000,70000,590000,9,57,8,910,Bethesda Game Studios,M,Sony,9,16
Fallout: New Vegas,PS3,2010,Role-Playing,Bethesda Softworks,1520000,1030000,100000,460000,8.2,57,7.8,492,Obsidian Entertainment,M,Sony,15,16
The Elder Scrolls IV: Oblivion,PS3,2007,Role-Playing,Ubisoft,1690000,850000,140000,430000,9.3,45,8,604,4J Studios,M,Sony,1,50
Mass Effect 2,X360,2010,Role-Playing,Electronic Arts,1990000,810000,30000,270000,9.6,98,8.9,3143,BioWare,M,Microsoft,21,34
Mass Effect 3,X360,2012,Role-Playing,Electronic Arts,1940000,840000,30000,240000,9.3,74,5.8,3725,BioWare,M,Microsoft,21,34
Pac-Man Collection,GBA,2001,Puzzle,Atari,2070000,770000,50000,50000,7.9,13,7.8,4,Mass Media,E,Nintendo,3,35
Mass Effect,X360,2007,Role-Playing,Microsoft Game Studios,1830000,790000,30000,270000,9.1,74,8.7,1692,BioWare,M,Microsoft,21,16
The Elder Scrolls III: Morrowind,XB,2002,Role-Playing,Ubisoft,2090000,630000,30000,110000,8.7,34,8.7,111,Bethesda Softworks,T,Microsoft,5,50
Monster Hunter Freedom 2,PSP,2007,Role-Playing,Capcom,370000,270000,1750000,180000,7.2,38,8.7,83,Capcom,T,Nintendo,15,16
Dragon Age: Origins,X360,2009,Role-Playing,Electronic Arts,1760000,550000,30000,220000,8.6,68,7.9,725,BioWare,M,Microsoft,21,34
Scribblenauts,DS,2009,Puzzle,Warner Bros. Interactive Entertainment,1670000,300000,20000,180000,7.9,72,7.6,110,5TH Cell,E10+,Nintendo,5,7
Dark Souls,PS3,2011,Role-Playing,Namco Bandai Games,750000,510000,540000,220000,8.9,54,8.7,1397,From Software,M,Sony,14,61
Dragon Age: Inquisition,PS4,2014,Role-Playing,Electronic Arts,730000,880000,80000,320000,8.9,43,7.4,1984,BioWare,M,Sony,21,34
Diablo III,PS3,2013,Role-Playing,Activision,720000,750000,150000,290000,8.6,43,6.4,557,Blizzard Entertainment,M,Sony,10,39
Diablo III,PS4,2014,Role-Playing,Activision,510000,980000,60000,280000,6.48,NA,6.3,NA,Blizzard Entertainment,M,Sony,10,39
Demon's Souls,PS3,2009,Role-Playing,Namco Bandai Games,970000,330000,350000,170000,8.9,81,8.9,1441,From Software,M,Sony,14,61
Xenosaga Episode I: Der Wille zur Macht,PS2,2002,Role-Playing,Namco Bandai Games,630000,490000,450000,170000,8.3,35,8.7,99,Monolith Soft,T,Sony,7,61
Dragon's Dogma,PS3,2012,Role-Playing,Capcom,410000,440000,720000,170000,7.8,38,8.3,444,Capcom,M,Sony,15,16
Star Ocean: Till The End of Time,PS2,2003,Role-Playing,Ubisoft,800000,210000,550000,150000,8,55,7.7,134,Tri-Ace,T,Sony,7,50
Dragon Age: Origins,PS3,2009,Role-Playing,Electronic Arts,960000,420000,80000,210000,8.7,41,7.9,597,BioWare,M,Sony,21,34
Dark Souls III,PS4,2016,Role-Playing,Namco Bandai Games,650000,450000,340000,220000,8.9,69,8.8,1940,From Software,M,Sony,14,61
Dark Cloud,PS2,2000,Role-Playing,Sony Computer Entertainment,830000,440000,80000,190000,8,27,8.2,99,Level 5,T,Sony,14,23
Super Monkey Ball 2,GC,2002,Puzzle,Atari,1110000,310000,60000,40000,8.7,34,8.5,51,Amusement Vision,E,Nintendo,3,35
Ni no Kuni: Wrath of the White Witch,PS3,2011,Role-Playing,Namco Bandai Games,600000,470000,210000,230000,8.5,89,8.6,984,Level 5,E10+,Sony,14,61
Super Monkey Ball,GC,2001,Puzzle,Atari,950000,370000,100000,40000,8.7,28,7.9,46,Amusement Vision,E,Nintendo,3,35
Mass Effect 2,PS3,2011,Role-Playing,Electronic Arts,780000,450000,30000,190000,9.4,62,8.5,1081,BioWare,M,Sony,21,34
Mass Effect 3,PS3,2012,Role-Playing,Electronic Arts,630000,560000,30000,200000,9.3,30,5.5,1849,BioWare,M,Sony,21,34
Gardening Mama,DS,2009,Puzzle,505 Games,790000,420000,10000,130000,6,17,9.3,4,Taito Corporation,E,Nintendo,13,20
Monster Hunter Freedom,PSP,2005,Role-Playing,Capcom,240000,30000,1030000,40000,7.1,34,8.6,78,Capcom,T,Nintendo,15,16
Dark Souls II,PS3,2014,Role-Playing,Namco Bandai Games,400000,330000,400000,150000,9.1,69,8.1,1107,From Software,T,Sony,14,61
.hack//Infection Part 1,PS2,2002,Role-Playing,Atari,490000,380000,260000,130000,7.5,35,8.5,60,CyberConnect2,T,Sony,4,35
Valkyria Chronicles,PS3,2008,Role-Playing,Sega,710000,190000,240000,130000,8.6,60,8.6,433,Sega,T,Sony,4,35
Tales of Xillia,PS3,2011,Role-Playing,Namco Bandai Games,290000,180000,670000,90000,7.8,65,8.2,468,Bandai Namco Games,T,Sony,13,61
Persona 4: Golden,PSV,2012,Role-Playing,Atlus,360000,230000,380000,150000,9.3,61,9.2,1228,Atlus,M,Sony,9,17
Untold Legends: Brotherhood of the Blade,PSP,2005,Role-Playing,Activision,540000,330000,10000,220000,6.8,51,7.6,58,Sony Online Entertainment,T,Nintendo,3,39
Tales of Graces f,PS3,2010,Role-Playing,Namco Bandai Games,280000,180000,450000,70000,7.7,55,8.2,336,Namco Bandai Games,T,Sony,2,61
Dark Cloud 2,PS2,2002,Role-Playing,Sony Computer Entertainment,380000,250000,260000,70000,8.7,41,9.1,174,Level 5,T,Sony,14,23
Phantasy Star Portable,PSP,2008,Role-Playing,Sega,190000,60000,630000,50000,6.4,38,7.8,19,Alfa System,T,Nintendo,4,35
White Knight Chronicles: International Edition,PS3,2008,Role-Playing,Sony Computer Entertainment,330000,160000,360000,80000,6.4,77,7.5,213,Level 5,T,Sony,14,23
Blue Dragon,X360,2006,Role-Playing,Microsoft Game Studios,300000,320000,210000,80000,7.9,56,7.8,161,"Mistwalker, Artoon",T,Microsoft,3,16
Lost Odyssey,X360,2007,Role-Playing,Microsoft Game Studios,450000,260000,110000,80000,7.8,68,8.3,432,Mistwalker,T,Microsoft,2,16
Sonic Chronicles: The Dark Brotherhood,DS,2008,Role-Playing,Sega,500000,290000,10000,80000,7.4,55,7.3,81,BioWare,E,Nintendo,21,35
Kingdoms of Amalur: Reckoning,X360,2012,Role-Playing,Electronic Arts,550000,240000,10000,70000,8,71,7.7,446,Big Huge Games,M,Microsoft,3,34
Phantasy Star Portable 2,PSP,2009,Role-Playing,Sega,80000,110000,620000,60000,6.9,27,8.1,35,Alfa System,T,Nintendo,4,35
Vagrant Story,PS,2000,Role-Playing,Crave Entertainment,300000,200000,300000,60000,9.2,19,8.3,129,SquareSoft,T,Sony,5,6
Kingdoms of Amalur: Reckoning,PS3,2012,Role-Playing,Electronic Arts,370000,290000,90000,110000,8.1,34,7.6,376,Big Huge Games,M,Sony,3,34
 Tales of Xillia 2,PS3,2012,Role-Playing,Namco Bandai Games,200000,120000,450000,70000,7.1,59,7.9,216,Bandai Namco Games,T,Sony,13,61
Rogue Galaxy,PS2,2005,Role-Playing,Sony Computer Entertainment,240000,160000,390000,50000,8.3,59,8.4,89,Level 5,T,Sony,14,23
Tales of the Abyss,3DS,2011,Role-Playing,Namco Bandai Games,430000,190000,140000,60000,7.5,33,7.6,197,Bandai Namco Games,T,Nintendo,13,61
Shin Megami Tensei: Persona 4,PS2,2008,Role-Playing,Atlus,340000,40000,360000,80000,9,47,8.9,634,Atlus Co.,M,Sony,5,17
Tales of Destiny II,PS,2000,Role-Playing,Namco Bandai Games,60000,40000,660000,50000,7.8,9,8.7,31,Namco,T,Sony,10,61
Dragon's Dogma,X360,2012,Role-Playing,Capcom,420000,230000,70000,60000,7.5,59,7.8,320,Capcom,M,Microsoft,15,16
Too Human,X360,2008,Role-Playing,Microsoft Game Studios,380000,290000,30000,80000,6.5,80,7,458,Silicon Knights,T,Microsoft,1,16
Unlimited Saga,PS2,2002,Role-Playing,Atari,100000,80000,560000,30000,4.5,26,3,29,SquareSoft,T,Sony,5,35
Dark Souls II,X360,2014,Role-Playing,Namco Bandai Games,480000,180000,10000,70000,9.1,30,7.9,915,From Software,T,Microsoft,14,61
Tales of Vesperia,X360,2008,Role-Playing,Atari,320000,170000,190000,50000,7.9,67,8.2,264,Bandai Namco Games,T,Microsoft,13,35
Resonance of Fate,PS3,2010,Role-Playing,Sega,200000,210000,240000,80000,7.2,42,8,136,Tri-Ace,T,Sony,7,35
Katamari Damacy,PS2,2004,Puzzle,Namco Bandai Games,470000,20000,170000,80000,8.6,55,9,86,Namco,E,Sony,10,61
Persona Q: Shadow of the Labyrinth,3DS,2014,Role-Playing,Nippon Ichi Software,340000,70000,270000,40000,8.3,56,8.1,169,Atlus,M,Nintendo,9,46
.hack//Mutation Part 2,PS2,2002,Role-Playing,Atari,230000,180000,200000,60000,7.6,24,8.9,81,CyberConnect2,T,Sony,4,35
Suikoden IV,PS2,2004,Role-Playing,Konami Digital Entertainment,170000,130000,300000,50000,6.3,44,7.3,47,KCET,T,Sony,1,17
Freedom Wars,PSV,2014,Role-Playing,Sony Computer Entertainment,150000,100000,320000,80000,7.3,39,8.3,265,"Dimps Corporation, SCE Japan Studio",T,Sony,1,23
White Knight Chronicles II,PS3,2010,Role-Playing,Sony Computer Entertainment,230000,90000,270000,40000,6,45,7.1,64,Level 5,T,Sony,14,23
Shin Megami Tensei: Persona 3 FES,PS2,2007,Role-Playing,Tecmo Koei,220000,200000,160000,50000,8.9,25,8.3,296,Atlus Co.,M,Sony,5,23
Wild ARMs 3,PS2,2002,Role-Playing,Ubisoft,160000,130000,290000,40000,7.8,30,8.4,38,"Media Vision, Contrail",T,Sony,1,50
Sacred 2: Fallen Angel,PS3,2009,Role-Playing,Deep Silver,220000,220000,80000,90000,7,45,7.1,51,"Ascaron Entertainment GmbH, Ascaron Entertainment",M,Sony,2,19
Muramasa: The Demon Blade,Weii,2009,Role-Playing,Rising Star Games,320000,120000,110000,40000,8.1,58,8.7,101,Vanillaware,T,Nintendo,6,34
Dragon Age: Inquisition,PS3,2014,Role-Playing,Electronic Arts,270000,180000,50000,90000,6.48,NA,5.2,242,BioWare,M,Sony,21,34
Digimon World 2,PS,2000,Role-Playing,Namco Bandai Games,230000,160000,160000,40000,4.2,5,7.6,47,Bandai,E,Sony,5,61
Disgaea 4: A Promise Unforgotten,PS3,2011,Role-Playing,Nippon Ichi Software,270000,110000,140000,50000,8,39,7.8,126,Nippon Ichi Software,T,Sony,18,46
Breath of Fire IV,PS,2000,Role-Playing,Capcom,110000,80000,340000,40000,8.3,10,8.9,45,Capcom,T,Sony,15,16
Tales of Zestiria,PS3,2015,Role-Playing,Namco Bandai Games,50000,70000,420000,20000,6.48,NA,8,47,"Namco Bandai Games, Bandai Namco Games",T,Sony,1,61
Sacred 2: Fallen Angel,X360,2009,Role-Playing,Deep Silver,290000,160000,40000,50000,7.1,56,7.3,64,"Ascaron Entertainment GmbH, Ascaron Entertainment",M,Microsoft,2,19
Two Worlds II,X360,2011,Role-Playing,Unknown,400000,70000,30000,30000,6.7,50,6.6,140,Reality Pump,M,Microsoft,3,12
